ID;Kreise;Flaeche
1001;Flensburg, kreisfreie Stadt;56.74
1002;Kiel, kreisfreie Stadt;118.65
1003;Lübeck, kreisfreie Stadt;214.21
1004;Neumünster, kreisfreie Stadt;71.63
1051;Dithmarschen, Landkreis;1428.14
1053;Herzogtum Lauenburg, Landkreis;1263.04
1054;Nordfriesland, Landkreis;2083.01
1055;Ostholstein, Landkreis;1392.59
1056;Pinneberg, Landkreis;664.25
1057;Plön, Landkreis;1083.20
1058;Rendsburg-Eckernförde, Landkreis;2189.25
1059;Schleswig-Flensburg, Landkreis;2071.13
1060;Segeberg, Landkreis;1344.42
1061;Steinburg, Landkreis;1055.72
1062;Stormarn, Landkreis;766.29
2000;Hamburg, kreisfreie Stadt;755.09
3101;Braunschweig, kreisfreie Stadt;192.70
3102;Salzgitter, kreisfreie Stadt;224.49
3103;Wolfsburg, kreisfreie Stadt;204.61
3151;Gifhorn, Landkreis;1567.58
3153;Goslar, Landkreis;966.72
3154;Helmstedt, Landkreis;676.15
3155;Northeim, Landkreis;1268.77
3157;Peine, Landkreis;536.50
3158;Wolfenbüttel, Landkreis;724.30
3159;Göttingen, Landkreis;1755.55
3241;Region Hannover, Landkreis;2297.14
3251;Diepholz, Landkreis;1990.99
3252;Hameln-Pyrmont, Landkreis;797.54
3254;Hildesheim, Landkreis;1208.33
3255;Holzminden, Landkreis;694.24
3256;Nienburg (Weser), Landkreis;1400.80
3257;Schaumburg, Landkreis;675.68
3351;Celle, Landkreis;1550.82
3352;Cuxhaven, Landkreis;2058.97
3353;Harburg, Landkreis;1248.57
3354;Lüchow-Dannenberg, Landkreis;1227.22
3355;Lüneburg, Landkreis;1327.67
3356;Osterholz, Landkreis;652.67
3357;Rotenburg (Wümme), Landkreis;2074.78
3358;Heidekreis;1881.41
3359;Stade, Landkreis;1267.38
3360;Uelzen, Landkreis;1462.59
3361;Verden, Landkreis;789.39
3401;Delmenhorst, kreisfreie Stadt;62.45
3402;Emden, kreisfreie Stadt;112.34
3403;Oldenburg (Oldenburg), kreisfreie Stadt;103.09
3404;Osnabrück, kreisfreie Stadt;119.80
3405;Wilhelmshaven, kreisfreie Stadt;107.07
3451;Ammerland, Landkreis;730.57
3452;Aurich, Landkreis;1287.36
3453;Cloppenburg, Landkreis;1420.42
3454;Emsland, Landkreis;2883.67
3455;Friesland, Landkreis;609.53
3456;Grafschaft Bentheim, Landkreis;981.79
3457;Leer, Landkreis;1085.72
3458;Oldenburg, Landkreis;1064.84
3459;Osnabrück, Landkreis;2121.81
3460;Vechta, Landkreis;814.20
3461;Wesermarsch, Landkreis;824.78
3462;Wittmund, Landkreis;656.86
4011;Bremen, kreisfreie Stadt;326.18
4012;Bremerhaven, kreisfreie Stadt;93.66
5111;Düsseldorf, kreisfreie Stadt;217.41
5112;Duisburg, kreisfreie Stadt;232.80
5113;Essen, kreisfreie Stadt;210.34
5114;Krefeld, kreisfreie Stadt;137.77
5116;Mönchengladbach, kreisfreie Stadt;170.47
5117;Mülheim an der Ruhr, kreisfreie Stadt;91.28
5119;Oberhausen, kreisfreie Stadt;77.09
5120;Remscheid, kreisfreie Stadt;74.52
5122;Solingen, kreisfreie Stadt;89.54
5124;Wuppertal, kreisfreie Stadt;168.39
5154;Kleve, Landkreis;1232.99
5158;Mettmann, Landkreis;407.22
5162;Rhein-Kreis Neuss;576.42
5166;Viersen, Landkreis;563.28
5170;Wesel, Landkreis;1042.80
5314;Bonn, kreisfreie Stadt;141.06
5315;Köln, kreisfreie Stadt;405.02
5316;Leverkusen, kreisfreie Stadt;78.87
5334;Städteregion Aachen, Landkreis;706.83
5358;Düren, Landkreis;941.77
5362;Rhein-Erft-Kreis;704.71
5366;Euskirchen, Landkreis;1248.73
5370;Heinsberg, Landkreis;627.99
5374;Oberbergischer Kreis;918.85
5378;Rheinisch-Bergischer Kreis;437.32
5382;Rhein-Sieg-Kreis;1153.21
5512;Bottrop, kreisfreie Stadt;100.61
5513;Gelsenkirchen, kreisfreie Stadt;104.94
5515;Münster, kreisfreie Stadt;303.28
5554;Borken, Landkreis;1420.98
5558;Coesfeld, Landkreis;1112.05
5562;Recklinghausen, Landkreis;761.31
5566;Steinfurt, Landkreis;1795.76
5570;Warendorf, Landkreis;1319.42
5711;Bielefeld, kreisfreie Stadt;258.82
5754;Gütersloh, Landkreis;969.21
5758;Herford, Landkreis;450.41
5762;Höxter, Landkreis;1201.42
5766;Lippe, Landkreis;1246.22
5770;Minden-Lübbecke, Landkreis;1152.41
5774;Paderborn, Landkreis;1246.80
5911;Bochum, kreisfreie Stadt;145.66
5913;Dortmund, kreisfreie Stadt;280.71
5914;Hagen, kreisfreie Stadt;160.45
5915;Hamm, kreisfreie Stadt;226.43
5916;Herne, kreisfreie Stadt;51.42
5954;Ennepe-Ruhr-Kreis;409.64
5958;Hochsauerlandkreis;1960.17
5962;Märkischer Kreis;1061.06
5966;Olpe, Landkreis;712.14
5970;Siegen-Wittgenstein, Landkreis;1132.89
5974;Soest, Landkreis;1328.63
5978;Unna, Landkreis;543.21
6411;Darmstadt, kreisfreie Stadt;122.07
6412;Frankfurt am Main, kreisfreie Stadt;248.31
6413;Offenbach am Main, kreisfreie Stadt;44.88
6414;Wiesbaden, kreisfreie Stadt;203.87
6431;Bergstraße, Landkreis;719.47
6432;Darmstadt-Dieburg, Landkreis;658.64
6433;Groß-Gerau, Landkreis;453.03
6434;Hochtaunuskreis;481.84
6435;Main-Kinzig-Kreis;1397.32
6436;Main-Taunus-Kreis;222.53
6437;Odenwaldkreis;623.97
6438;Offenbach, Landkreis;356.24
6439;Rheingau-Taunus-Kreis;811.41
6440;Wetteraukreis;1100.66
6531;Gießen, Landkreis;854.56
6532;Lahn-Dill-Kreis;1066.30
6533;Limburg-Weilburg, Landkreis;738.44
6534;Marburg-Biedenkopf, Landkreis;1262.37
6535;Vogelsbergkreis;1458.91
6611;Kassel, kreisfreie Stadt;106.80
6631;Fulda, Landkreis;1380.41
6632;Hersfeld-Rotenburg, Landkreis;1097.74
6633;Kassel, Landkreis;1293.34
6634;Schwalm-Eder-Kreis;1539.02
6635;Waldeck-Frankenberg, Landkreis;1848.70
6636;Werra-Meißner-Kreis;1024.83
7111;Koblenz, kreisfreie Stadt;105.25
7131;Ahrweiler, Landkreis;787.02
7132;Altenkirchen (Westerwald), Landkreis;642.38
7133;Bad Kreuznach, Landkreis;863.89
7134;Birkenfeld, Landkreis;776.83
7135;Cochem-Zell, Landkreis;692.43
7137;Mayen-Koblenz, Landkreis;817.73
7138;Neuwied, Landkreis;627.06
7140;Rhein-Hunsrück-Kreis;991.06
7141;Rhein-Lahn-Kreis;782.24
7143;Westerwaldkreis;989.04
7211;Trier, kreisfreie Stadt;117.07
7231;Bernkastel-Wittlich, Landkreis;1167.94
7232;Eifelkreis Bitburg-Prüm;1626.95
7233;Vulkaneifel, Landkreis;911.64
7235;Trier-Saarburg, Landkreis;1102.23
7311;Frankenthal (Pfalz), kreisfreie Stadt;43.88
7312;Kaiserslautern, kreisfreie Stadt;139.70
7313;Landau in der Pfalz, kreisfreie Stadt;82.94
7314;Ludwigshafen am Rhein, kreisfreie Stadt;77.43
7315;Mainz, kreisfreie Stadt;97.73
7316;Neustadt an der Weinstraße, kreisfreie Stadt;117.09
7317;Pirmasens, kreisfreie Stadt;61.36
7318;Speyer, kreisfreie Stadt;42.71
7319;Worms, kreisfreie Stadt;108.73
7320;Zweibrücken, kreisfreie Stadt;70.64
7331;Alzey-Worms, Landkreis;588.07
7332;Bad Dürkheim, Landkreis;594.64
7333;Donnersbergkreis;645.41
7334;Germersheim, Landkreis;463.32
7335;Kaiserslautern, Landkreis;640.00
7336;Kusel, Landkreis;573.60
7337;Südliche Weinstraße, Landkreis;639.95
7338;Rhein-Pfalz-Kreis;304.99
7339;Mainz-Bingen, Landkreis;605.36
7340;Südwestpfalz, Landkreis;953.50
8111;Stuttgart, kreisfreie Stadt;207.33
8115;Böblingen, Landkreis;617.77
8116;Esslingen, Landkreis;641.28
8117;Göppingen, Landkreis;642.34
8118;Ludwigsburg, Landkreis;686.77
8119;Rems-Murr-Kreis;858.08
8121;Heilbronn, kreisfreie Stadt;99.89
8125;Heilbronn, Landkreis;1099.91
8126;Hohenlohekreis;776.76
8127;Schwäbisch Hall, Landkreis;1484.07
8128;Main-Tauber-Kreis;1304.13
8135;Heidenheim, Landkreis;627.14
8136;Ostalbkreis;1511.37
8211;Baden-Baden, kreisfreie Stadt;140.19
8212;Karlsruhe, kreisfreie Stadt;173.42
8215;Karlsruhe, Landkreis;1085.28
8216;Rastatt, Landkreis;738.43
8221;Heidelberg, kreisfreie Stadt;108.89
8222;Mannheim, kreisfreie Stadt;144.97
8225;Neckar-Odenwald-Kreis;1125.94
8226;Rhein-Neckar-Kreis;1061.55
8231;Pforzheim, kreisfreie Stadt;98.07
8235;Calw, Landkreis;797.29
8236;Enzkreis;573.60
8237;Freudenstadt, Landkreis;870.39
8311;Freiburg im Breisgau, kreisfreie Stadt;153.04
8315;Breisgau-Hochschwarzwald, Landkreis;1378.31
8316;Emmendingen, Landkreis;679.79
8317;Ortenaukreis;1850.34
8325;Rottweil, Landkreis;769.42
8326;Schwarzwald-Baar-Kreis;1025.33
8327;Tuttlingen, Landkreis;734.38
8335;Konstanz, Landkreis;817.98
8336;Lörrach, Landkreis;806.71
8337;Waldshut, Landkreis;1131.10
8415;Reutlingen, Landkreis;1027.85
8416;Tübingen, Landkreis;519.12
8417;Zollernalbkreis;917.58
8421;Ulm, kreisfreie Stadt;118.68
8425;Alb-Donau-Kreis;1358.55
8426;Biberach, Landkreis;1409.53
8435;Bodenseekreis;664.79
8436;Ravensburg, Landkreis;1632.10
8437;Sigmaringen, Landkreis;1204.23
9161;Ingolstadt, kreisfreie Stadt;133.35
9162;München, kreisfreie Stadt;310.71
9163;Rosenheim, kreisfreie Stadt;37.22
9171;Altötting, Landkreis;569.29
9172;Berchtesgadener Land, Landkreis;839.83
9173;Bad Tölz-Wolfratshausen, Landkreis;1110.67
9174;Dachau, Landkreis;579.16
9175;Ebersberg, Landkreis;549.40
9176;Eichstätt, Landkreis;1213.86
9177;Erding, Landkreis;870.75
9178;Freising, Landkreis;799.85
9179;Fürstenfeldbruck, Landkreis;434.80
9180;Garmisch-Partenkirchen, Landkreis;1012.21
9181;Landsberg am Lech, Landkreis;804.36
9182;Miesbach, Landkreis;866.22
9183;Mühldorf am Inn, Landkreis;805.33
9184;München, Landkreis;664.26
9185;Neuburg-Schrobenhausen, Landkreis;739.72
9186;Pfaffenhofen an der Ilm, Landkreis;761.04
9187;Rosenheim, Landkreis;1439.45
9188;Starnberg, Landkreis;487.72
9189;Traunstein, Landkreis;1533.76
9190;Weilheim-Schongau, Landkreis;966.30
9261;Landshut, kreisfreie Stadt;65.83
9262;Passau, kreisfreie Stadt;69.56
9263;Straubing, kreisfreie Stadt;67.59
9271;Deggendorf, Landkreis;861.17
9272;Freyung-Grafenau, Landkreis;983.87
9273;Kelheim, Landkreis;1065.14
9274;Landshut, Landkreis;1347.57
9275;Passau, Landkreis;1530.11
9276;Regen, Landkreis;974.80
9277;Rottal-Inn, Landkreis;1281.22
9278;Straubing-Bogen, Landkreis;1201.62
9279;Dingolfing-Landau, Landkreis;877.58
9361;Amberg, kreisfreie Stadt;50.13
9362;Regensburg, kreisfreie Stadt;80.85
9363;Weiden in der Oberpfalz, kreisfreie Stadt;70.57
9371;Amberg-Sulzbach, Landkreis;1255.87
9372;Cham, Landkreis;1520.13
9373;Neumarkt in der Oberpfalz, Landkreis;1343.96
9374;Neustadt an der Waldnaab, Landkreis;1427.71
9375;Regensburg, Landkreis;1391.67
9376;Schwandorf, Landkreis;1465.06
9377;Tirschenreuth, Landkreis;1084.25
9461;Bamberg, kreisfreie Stadt;54.62
9462;Bayreuth, kreisfreie Stadt;66.89
9463;Coburg, kreisfreie Stadt;48.29
9464;Hof, kreisfreie Stadt;58.02
9471;Bamberg, Landkreis;1167.80
9472;Bayreuth, Landkreis;1273.63
9473;Coburg, Landkreis;590.42
9474;Forchheim, Landkreis;642.83
9475;Hof, Landkreis;892.52
9476;Kronach, Landkreis;651.49
9477;Kulmbach, Landkreis;658.34
9478;Lichtenfels, Landkreis;519.94
9479;Wunsiedel im Fichtelgebirge, Landkreis;606.37
9561;Ansbach, kreisfreie Stadt;99.91
9562;Erlangen, kreisfreie Stadt;76.96
9563;Fürth, kreisfreie Stadt;63.35
9564;Nürnberg, kreisfreie Stadt;186.45
9565;Schwabach, kreisfreie Stadt;40.80
9571;Ansbach, Landkreis;1971.33
9572;Erlangen-Höchstadt, Landkreis;564.56
9573;Fürth, Landkreis;307.44
9574;Nürnberger Land, Landkreis;799.52
9575;Neustadt an der Aisch-Bad Windsheim, Landkreis;1267.45
9576;Roth, Landkreis;895.15
9577;Weißenburg-Gunzenhausen, Landkreis;970.78
9661;Aschaffenburg, kreisfreie Stadt;62.45
9662;Schweinfurt, kreisfreie Stadt;35.70
9663;Würzburg, kreisfreie Stadt;87.60
9671;Aschaffenburg, Landkreis;698.90
9672;Bad Kissingen, Landkreis;1136.84
9673;Rhön-Grabfeld, Landkreis;1021.72
9674;Haßberge, Landkreis;956.19
9675;Kitzingen, Landkreis;684.14
9676;Miltenberg, Landkreis;715.58
9677;Main-Spessart, Landkreis;1321.19
9678;Schweinfurt, Landkreis;841.39
9679;Würzburg, Landkreis;968.36
9761;Augsburg, kreisfreie Stadt;146.87
9762;Kaufbeuren, kreisfreie Stadt;40.02
9763;Kempten (Allgäu), kreisfreie Stadt;63.28
9764;Memmingen, kreisfreie Stadt;70.11
9771;Aichach-Friedberg, Landkreis;780.24
9772;Augsburg, Landkreis;1070.62
9773;Dillingen an der Donau, Landkreis;792.23
9774;Günzburg, Landkreis;762.40
9775;Neu-Ulm, Landkreis;515.84
9776;Lindau (Bodensee), Landkreis;323.39
9777;Ostallgäu, Landkreis;1394.45
9778;Unterallgäu, Landkreis;1229.59
9779;Donau-Ries, Landkreis;1274.58
9780;Oberallgäu, Landkreis;1527.99
10041;Regionalverband Saarbrücken, Landkreis;410.95
10042;Merzig-Wadern, Landkreis;556.66
10043;Neunkirchen, Landkreis;249.80
10044;Saarlouis, Landkreis;459.35
10045;Saarpfalz-Kreis;418.27
10046;Sankt Wendel, Landkreis;476.07
11000;Berlin, kreisfreie Stadt;891.12
12051;Brandenburg an der Havel, kreisfreie Stadt;229.72
12052;Cottbus, kreisfreie Stadt;165.62
12053;Frankfurt (Oder), kreisfreie Stadt;147.85
12054;Potsdam, kreisfreie Stadt;188.26
12060;Barnim, Landkreis;1479.67
12061;Dahme-Spreewald, Landkreis;2274.49
12062;Elbe-Elster, Landkreis;1899.57
12063;Havelland, Landkreis;1727.30
12064;Märkisch-Oderland, Landkreis;2158.65
12065;Oberhavel, Landkreis;1808.18
12066;Oberspreewald-Lausitz, Landkreis;1223.09
12067;Oder-Spree, Landkreis;2256.75
12068;Ostprignitz-Ruppin, Landkreis;2526.57
12069;Potsdam-Mittelmark, Landkreis;2592.02
12070;Prignitz, Landkreis;2138.55
12071;Spree-Neiße, Landkreis;1656.97
12072;Teltow-Fläming, Landkreis;2104.23
12073;Uckermark, Landkreis;3076.89
13003;Rostock, kreisfreie Stadt;181.36
13004;Schwerin, kreisfreie Stadt;130.52
13071;Mecklenburgische Seenplatte, Landkreis;5495.63
13072;Rostock, Landkreis;3431.29
13073;Vorpommern-Rügen, Landkreis;3214.45
13074;Nordwestmecklenburg, Landkreis;2127.12
13075;Vorpommern-Greifswald, Landkreis;3945.58
13076;Ludwigslust-Parchim, Landkreis;4766.78
14511;Chemnitz, kreisfreie Stadt;221.05
14521;Erzgebirgskreis;1827.90
14522;Mittelsachsen, Landkreis;2116.85
14523;Vogtlandkreis;1412.43
14524;Zwickau, Landkreis;949.79
14612;Dresden, kreisfreie Stadt;328.48
14625;Bautzen, Landkreis;2395.60
14626;Görlitz, Landkreis;2111.42
14627;Meißen, Landkreis;1454.59
14628;Sächsische Schweiz-Osterzgebirge, Landkreis;1654.18
14713;Leipzig, kreisfreie Stadt;297.80
14729;Leipzig, Landkreis;1651.32
14730;Nordsachsen, Landkreis;2028.56
15001;Dessau-Roßlau, kreisfreie Stadt;244.75
15002;Halle (Saale), kreisfreie Stadt;135.02
15003;Magdeburg, kreisfreie Stadt;201.01
15081;Altmarkkreis Salzwedel;2293.05
15082;Anhalt-Bitterfeld, Landkreis;1453.54
15083;Börde, Landkreis;2366.59
15084;Burgenlandkreis;1413.70
15085;Harz, Landkreis;2104.53
15086;Jerichower Land, Landkreis;1576.85
15087;Mansfeld-Südharz, Landkreis;1448.85
15088;Saalekreis;1433.71
15089;Salzlandkreis;1426.83
15090;Stendal, Landkreis;2423.24
15091;Wittenberg, Landkreis;1930.45
16051;Erfurt, kreisfreie Stadt;269.91
16052;Gera, kreisfreie Stadt;152.19
16053;Jena, kreisfreie Stadt;114.76
16054;Suhl, kreisfreie Stadt;103.03
16055;Weimar, kreisfreie Stadt;84.48
16056;Eisenach, kreisfreie Stadt;104.17
16061;Eichsfeld, Landkreis;943.07
16062;Nordhausen, Landkreis;713.91
16063;Wartburgkreis;1307.43
16064;Unstrut-Hainich-Kreis;979.69
16065;Kyffhäuserkreis;1037.89
16066;Schmalkalden-Meiningen, Landkreis;1210.73
16067;Gotha, Landkreis;936.08
16068;Sömmerda, Landkreis;806.84
16069;Hildburghausen, Landkreis;938.42
16070;Ilm-Kreis;843.71
16071;Weimarer Land, Landkreis;804.48
16072;Sonneberg, Landkreis;433.61
16073;Saalfeld-Rudolstadt, Landkreis;1036.03
16074;Saale-Holzland-Kreis;815.24
16075;Saale-Orla-Kreis;1151.30
16076;Greiz, Landkreis;845.98
16077;Altenburger Land, Landkreis;569.41